"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session"
"1",1,1,1,0,6,2,1,2,2,0,1,1,1,1,152,90,152,90,169,1.0098537057,1.68997512537,146,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,1.069510148,1,1.90014004184,133,1.4,"a"
"2",0,0,0,1,6,1,2,0,2,2,1,1,2,1,3,25,25,3,134,2.90951692625,3.83964713422,39,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.679653912473,1,1.61029519354,61,1,"a"
"3",1,1,0,0,6,1,2,1,1,0,1,1,3,1,136,136,136,136,108,2.67955776703,4.22954393111,141,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,1.05958884004,1,1.8501005471,116,1.3,"a"
"4",1,1,0,0,6,1,2,1,1,0,1,1,4,1,135,142,135,142,145,0.669895751302,1.3199335635,105,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.649602754085,1,1.37024496956,120,1.4,"a"
"5",1,1,0,1,6,1,2,2,2,0,1,1,5,1,75,104,104,75,41,0.829880259869,2.24983692832,126,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.619654952046,1,1.47046397085,163,1.1,"a"
"6",0,0,0,1,6,1,2,0,2,2,1,1,6,1,31,45,45,31,33,1.50973036913,2.30982627421,50,"[ 1.5]",1,12,22,32,42,52,62,72,77,1,0.319657145365,1,1.33018777505,27,1.4,"a"
"7",0,0,0,1,6,1,2,0,2,2,1,1,7,1,73,67,67,73,147,1.12979063429,2.11978519907,48,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.659600978401,1,1.47011063636,70,1.1,"a"
"8",0,0,1,1,6,2,1,0,1,1,1,1,8,1,80,164,164,80,142,1.04976728297,2.46977322596,168,"[ 1.5]",1,12,22,32,42,52,62,72,77,1,0.329658073768,1,1.36023262389,156,1.1,"a"
"9",0,0,1,1,6,2,1,0,1,1,1,1,9,1,34,17,17,34,80,1.22978549652,1.85985660509,51,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.379754354413,1,1.18025857715,69,1.1,"a"
"10",1,1,0,0,6,1,2,1,1,0,1,1,10,1,112,29,112,29,28,0.529862623191,1.46001025752,121,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.529679045492,1,1.16022336989,152,1.3,"a"
