"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session","DTcheck","rdif","confwidth","absrdif","confdiff","prevtrlconfdiff","prevtrlcw","prevtrlabsrdif"
"1","neutral",0,0,1,10,1,2,0,2,2,1,1,1,1,56,170,170,56,173,1.33980289063,2.28983358287,162,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.759653182213,1,1.66014603076,-180,1.2,"a",1,-8,18,8,-10,NA,NA,NA
"2","neutral",0,1,0,10,2,1,0,2,2,1,1,2,1,7,60,7,60,2,0.769901355176,1.80983581831,12,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.639661703328,1,1.53030689534,-4,1.3,"a",0,5,16,5,-11,-10,18,8
"3","cued",1,1,1,10,2,1,1,1,0,1,1,3,1,123,42,42,123,77,0.559904248628,2.30982995929,53,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.519613437042,1,1.47021560884,34,1.2,"a",0,11,19,11,-8,-11,16,5
"4","neutral",0,1,0,10,2,1,0,2,2,1,1,4,1,120,110,120,110,29,0.529875731736,1.94995707894,118,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.499592422697,1,1.14021230075,99,1.1,"a",0,-2,19,2,-17,-8,19,11
"5","cued",1,1,1,10,2,1,1,1,0,1,1,5,1,140,78,78,140,152,0.15992293739,1.34997414521,66,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.309708272001,1,1.39022259159,89,1.5,"a",0,-12,23,12,-11,-17,19,2
"6","neutral",0,0,0,10,1,2,0,1,1,1,1,6,1,157,133,157,133,109,0.809895610335,2.07987042858,145,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.279671642624,1,1.19033935129,162,1.2,"a",0,-12,17,12,-5,-11,23,12
"7","cued",1,0,1,10,1,2,2,2,0,1,1,7,1,86,168,168,86,115,1.97973651247,3.01976441942,161,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.509516096223,1,1.29010429953,172,1.3,"a",0,-7,11,7,-4,-5,17,12
"8","cued",1,0,1,10,1,2,2,2,0,1,1,8,1,133,112,112,133,157,0.359859960467,1.69990592521,112,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.529620639125,1,1.72021478257,129,1.2,"a",0,0,17,0,-17,-4,11,7
"9","neutral",0,0,1,10,1,2,0,2,2,1,1,9,1,121,17,17,121,39,0.609904804482,2.10991126443,18,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.429605105219,1,1.4702327352,3,1.3,"a",0,1,15,1,-14,-17,17,0
"10","neutral",0,1,1,10,2,1,0,1,1,1,1,10,1,56,74,74,56,109,0.539981185044,1.94998081547,65,"[ 1.5]",1,12,22,32,42,52,62,72,77,1,0.459670578988,1,1.66027492915,83,1.5,"a",0,-9,18,9,-9,-14,15,1
