"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session","DTcheck","rdif","confwidth","absrdif","confdiff","prevtrlconfdiff","prevtrlcw","prevtrlabsrdif"
"1","neutral",0,0,0,26,1,2,0,1,1,1,1,1,1,132,39,132,39,77,2.0298043401,3.84974158495,132,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.869693672776,1,1.92022319753,116,1,"a",1,0,16,0,-16,NA,NA,NA
"2","neutral",0,1,1,26,2,1,0,1,1,1,1,2,1,134,158,158,134,45,1.02977609637,2.39983258082,175,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,3.14934770518,1,4.09995393869,153,1,"a",0,17,22,17,-5,-16,16,0
"3","neutral",0,1,0,26,2,1,0,2,2,1,1,3,1,101,169,101,169,103,1.10985666911,2.87983707578,118,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.86965431184,1,2.20015636207,108,1.3,"a",0,17,10,17,7,-5,22,17
"4","neutral",0,0,0,26,1,2,0,1,1,1,1,4,1,174,0,174,0,2,0.929849199545,2.43990832207,175,"[ 1.5]",1,11,21,31,41,51,61,71,76,1,0.969690577984,1,2.38017945582,165,1.5,"a",0,1,10,1,-9,7,10,17
"5","neutral",0,0,0,26,1,2,0,1,1,1,1,5,1,71,120,71,120,107,0.849877395196,2.5498932898,68,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.629642449476,1,1.55018353914,82,1.1,"a",0,-3,14,3,-11,-9,10,1
"6","neutral",0,0,1,26,1,2,0,2,2,1,1,6,1,112,87,87,112,9,1.00989071181,NA,62,"[ 1.5]",1,12,22,32,42,52,62,72,77,0,1.36958835974,1,2.640117566,91,1.4,"a",0,-25,29,25,-4,-11,14,3
"7","cued",1,1,0,26,2,1,2,2,0,1,1,7,1,83,98,83,98,133,0.329936875278,1.85993125958,78,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.849661360751,1,1.74023465727,94,1.3,"a",0,-5,16,5,-11,-4,29,25
"8","cued",1,1,1,26,2,1,1,1,0,1,1,8,1,158,38,38,158,160,1.18981495253,2.92984679583,21,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.569675915285,1,1.68025520308,40,1.3,"a",0,-17,19,17,-2,-11,16,5
"9","neutral",0,0,0,26,1,2,0,1,1,1,1,9,1,3,97,3,97,135,1.00986727553,2.62987711276,7,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.919635187234,1,1.83021465531,19,1.1,"a",0,4,12,4,-8,-2,19,17
"10","cued",1,1,1,26,2,1,1,1,0,1,1,10,1,37,160,160,37,16,1.34982706728,2.83985267593,175,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.739663773489,1,1.50044243493,161,1.1,"a",0,15,14,15,1,-8,12,4
"11","cued",1,0,0,26,1,2,1,1,0,1,1,11,1,132,106,132,106,12,0.549860238636,NA,133,"[ 1.8]",2,13,23,33,43,53,63,73,78,0,0.929670422782,1,2.15071992952,62,1.1,"a",0,1,71,1,-70,1,14,15
"12","cued",1,1,0,26,2,1,2,2,0,1,1,12,1,56,52,56,52,155,0.839852074996,2.51986059619,63,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,2.11949769438,1,3.16011337151,80,1.4,"a",0,7,17,7,-10,-70,71,1
"13","cued",1,0,0,26,1,2,1,1,0,1,1,13,1,78,28,78,28,163,0.949835840865,2.76981815549,67,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.819714600173,1,1.89027914114,83,1.4,"a",0,-11,16,11,-5,-10,17,7
"14","cued",1,0,1,26,1,2,2,2,0,1,1,14,1,27,141,141,27,83,1.49979673532,3.31973067506,157,"[ 1.7]",2,14,24,34,44,54,64,74,79,1,0.919647506305,1,1.66021297571,143,1.2,"a",0,16,14,16,2,-5,16,11
"15","cued",1,0,1,26,1,2,2,2,0,1,1,15,1,167,96,96,167,146,0.809886385112,1.90993376847,121,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,1.05957442717,1,2.03017811874,107,1.1,"a",0,25,14,25,11,2,14,16
"16","neutral",0,1,0,26,2,1,0,2,2,1,1,16,1,160,130,160,130,164,1.01982348874,2.0998529824,148,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,1.08964768358,1,1.98021436987,128,1.4,"a",0,-12,20,12,-8,11,14,25
"17","neutral",0,0,1,26,1,2,0,2,2,1,1,17,1,161,28,28,161,117,1.04980390142,2.28982567913,23,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.819582095042,1,1.47016486222,37,1.5,"a",0,-5,14,5,-9,-8,20,12
"18","cued",1,1,0,26,2,1,2,2,0,1,1,18,1,31,57,31,57,73,1.01980696316,2.41982913749,33,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.849702224012,1,1.82029690163,46,1.2,"a",0,2,13,2,-11,-9,14,5
"19","neutral",0,1,0,26,2,1,0,2,2,1,1,19,1,113,22,113,22,144,0.659814258453,1.77988313708,123,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.729600594681,1,1.4702556027,106,1.4,"a",0,10,17,10,-7,-11,13,2
"20","neutral",0,1,1,26,2,1,0,1,1,1,1,20,1,117,37,37,117,95,0.809859042785,2.33984681686,48,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.799605970002,1,1.97013736966,26,1,"a",0,11,22,11,-11,-7,17,10
"21","cued",1,1,1,26,2,1,1,1,0,1,1,21,1,128,26,26,128,163,0.789863988441,2.17986384722,18,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,1.03962985097,1,2.26017637905,39,1.3,"a",0,-8,21,8,-13,-11,22,11
