cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
0,0,0,1,2,1,2,0,2,2,1,1,161,6,32,41,41,32,85,1.52969895885,nan,36,[ 2.],1,12,22,32,42,52,62,72,77,0,0.0397503386812,1,0.740441582297,71.0,1.1
1,1,1,1,2,2,1,1,1,0,1,1,162,6,20,142,142,20,35,0.259919257267,1.04990852822,134,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.359613730412,1,0.760184704188,142.0,1.2
1,1,0,1,2,1,2,2,2,0,1,1,163,6,21,3,3,21,81,0.359906067544,nan,14,[ 1.6],2,14,24,34,44,54,64,74,79,0,0.87949641098,1,1.54018163359,4.0,1.4
0,0,1,0,2,2,1,0,2,2,1,1,164,6,130,44,130,44,138,0.629821572194,nan,121,[ 2.],1,11,21,31,41,51,61,71,76,0,2.24931249698,1,2.87986506223,135.0,1.2
1,1,0,0,2,1,2,1,1,0,1,1,165,6,72,157,72,157,22,1.57974689554,nan,111,[ 1.7],2,13,23,33,43,53,63,73,78,0,0.459645908526,0,nan,165.0,1.5
0,0,0,0,2,1,2,0,1,1,1,1,166,6,150,132,150,132,59,0.349819384926,nan,121,[ 1.6],1,11,21,31,41,51,61,71,76,0,0.339628145965,1,1.5900991753,-178.0,1.3
0,0,0,1,2,1,2,0,2,2,1,1,167,6,91,26,26,91,46,0.499889885348,2.08980939199,26,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.339629948663,1,1.82009669058,11.0,1.4
0,0,1,0,2,2,1,0,2,2,1,1,168,6,153,63,153,63,176,0.699825048396,nan,164,[ 1.9],1,11,21,31,41,51,61,71,76,0,0.449687818196,1,1.1402515181,-177.0,1.4
0,0,1,1,2,2,1,0,1,1,1,1,169,6,10,92,92,10,82,0.519822891172,nan,98,[ 1.9],1,12,22,32,42,52,62,72,77,0,0.609624771922,0,nan,116.0,1.2
0,0,1,1,2,2,1,0,1,1,1,1,170,6,30,15,15,30,130,0.799857827409,nan,18,[ 1.7],1,12,22,32,42,52,62,72,77,0,0.66959504547,0,nan,28.0,1.3
0,0,1,0,2,2,1,0,2,2,1,1,171,6,158,25,158,25,1,2.78944215285,nan,174,[ 1.9],1,11,21,31,41,51,61,71,76,0,0.299720672323,0,nan,182.0,1.4
