cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
1,1,1,0,12,2,1,2,2,0,1,1,65,3,119,168,119,168,153,0.75983376888,1.90984167063,115,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.539665266388,1,1.31014806612,103.0,1.0
1,1,0,0,12,1,2,1,1,0,1,1,66,3,9,36,9,36,76,0.399857227756,1.75983406933,10,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.369700196312,1,0.910289035681,28.0,1.5
0,0,0,1,12,1,2,0,2,2,1,1,67,3,178,114,114,178,14,0.729891857238,1.78981834395,131,[ 1.5],1,12,22,32,42,52,62,72,77,1,0.489629483189,1,1.13011653124,121.0,1.5
0,0,1,0,12,2,1,0,2,2,1,1,68,3,24,17,24,17,58,0.459909000721,1.28989315516,49,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.419618504871,1,1.03046919551,73.0,1.2
0,0,1,1,12,2,1,0,1,1,1,1,69,3,161,130,130,161,175,1.0897707532,2.92959243211,131,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.339629393056,1,1.07022279321,114.0,1.4
1,1,1,0,12,2,1,2,2,0,1,1,70,3,7,37,7,37,110,0.689871763363,2.24981357286,0,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.349674826597,1,0.860229216752,14.0,1.1
1,1,0,0,12,1,2,1,1,0,1,1,71,3,9,28,9,28,112,0.859774941426,2.1397840029,5,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.43960391518,1,1.07013326011,18.0,1.3
0,0,1,0,12,2,1,0,2,2,1,1,72,3,136,64,136,64,76,0.869788828073,1.82977233956,123,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.379750437001,1,0.940205108916,110.0,1.2
0,0,0,0,12,1,2,0,1,1,1,1,73,3,95,161,95,161,114,0.549826672333,1.54998711084,78,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.449662568375,1,1.3901215547,66.0,1.1
0,0,0,1,12,1,2,0,2,2,1,1,74,3,136,105,105,136,99,0.489889970431,1.25977398,101,[ 1.5],1,12,22,32,42,52,62,72,77,1,0.889564526624,1,1.58015015121,87.0,1.4
