cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
1,1,1,1,24,2,1,1,1,0,1,1,65,3,125,86,86,125,135,0.27991337499,1.65975076682,91,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.339631513212,1,1.30016834071,76.0,1.3
1,1,1,0,24,2,1,2,2,0,1,1,66,3,118,97,118,97,58,0.299895233971,1.69989475326,115,[ 1.8],2,13,23,33,43,53,63,73,78,1,0.319638838122,1,1.16043924216,130.0,1.1
0,0,0,1,24,1,2,0,2,2,1,1,67,3,114,21,21,114,30,0.379865633889,1.52994274373,32,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.289675513743,1,1.03031574925,14.0,1.1
1,1,0,0,24,1,2,1,1,0,1,1,68,3,102,43,102,43,70,0.309898031137,1.45993848639,105,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.549539429072,1,1.65004991934,87.0,1.4
0,0,0,0,24,1,2,0,1,1,1,1,69,3,15,32,15,32,100,0.329917446052,1.44002783345,12,[ 1.7],1,11,21,31,41,51,61,71,76,1,0.249689562666,1,0.930184423662,28.0,1.1
0,0,0,1,24,1,2,0,2,2,1,1,70,3,75,64,64,75,76,0.34987617058,1.23991360333,68,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.279720187275,1,1.22023399449,53.0,1.2
0,0,1,1,24,2,1,0,1,1,1,1,71,3,110,160,160,110,28,0.309884210554,1.60999666804,163,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.239626375562,1,1.05015850106,149.0,1.2
1,1,0,0,24,1,2,1,1,0,1,1,72,3,77,125,77,125,3,0.189952496252,1.45991204701,66,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.259700471914,1,1.19016341037,49.0,1.2
0,0,1,1,24,2,1,0,1,1,1,1,73,3,179,126,126,179,81,0.339925050377,1.58983994863,123,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.289741912631,1,1.67031029312,104.0,1.0
0,0,0,0,24,1,2,0,1,1,1,1,74,3,2,70,2,70,137,0.329881091911,2.13980691444,14,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.269753443803,1,1.08025191918,31.0,1.2
1,1,0,1,24,1,2,2,2,0,1,1,75,3,167,21,21,167,39,0.289925486028,1.20997521609,22,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.299742606663,1,1.15023664744,37.0,1.3
1,1,0,0,24,1,2,1,1,0,1,1,76,3,129,105,129,105,86,0.249858714584,1.3398923016,110,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.289731096522,1,1.29013249432,94.0,1.4
1,1,0,1,24,1,2,2,2,0,1,1,77,3,137,12,12,137,153,0.549915589287,1.96985190044,12,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.549632267335,1,1.40009446068,31.0,1.2
0,0,0,1,24,1,2,0,2,2,1,1,78,3,69,95,95,69,79,0.309904640982,1.24991369647,102,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.329731769523,1,1.17046727692,86.0,1.4
0,0,1,1,24,2,1,0,1,1,1,1,79,3,74,124,124,74,11,0.339876978784,nan,129,[ 1.5],1,12,22,32,42,52,62,72,77,0,0.279730702936,1,1.21023900895,148.0,1.4
1,1,1,1,24,2,1,1,1,0,1,1,80,3,1,156,156,1,99,0.299909054556,1.91977902691,146,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.279695550584,1,1.17024344356,122.0,1.4
0,0,0,0,24,1,2,0,1,1,1,1,81,3,154,169,154,169,16,0.339897108764,nan,139,[ 1.6],1,11,21,31,41,51,61,71,76,0,0.249706387724,1,1.06037852173,120.0,1.3
0,0,1,1,24,2,1,0,1,1,1,1,82,3,103,126,126,103,118,0.449904142239,nan,158,[ 1.7],1,12,22,32,42,52,62,72,77,0,0.0997659814748,1,0.960460213395,137.0,1.1
0,0,1,0,24,2,1,0,2,2,1,1,83,3,83,49,83,49,19,0.469903126726,nan,62,[ 1.6],1,11,21,31,41,51,61,71,76,0,0.279662200917,1,1.05026425856,42.0,1.3
1,1,1,0,24,2,1,2,2,0,1,1,84,3,21,65,21,65,61,0.269918689904,1.47997893262,6,[ 1.5],2,13,23,33,43,53,63,73,78,1,0.299726082054,1,1.02026157556,21.0,1.1
1,1,0,1,24,1,2,2,2,0,1,1,85,3,146,11,11,146,22,0.849787688805,1.9598632243,9,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.319729573253,1,1.5902158084,24.0,1.2
1,1,1,0,24,2,1,2,2,0,1,1,86,3,168,95,168,95,5,0.289879517566,1.39990728192,165,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.0397365796871,1,1.33017252594,152.0,1.3
1,1,1,1,24,2,1,1,1,0,1,1,87,3,9,4,4,9,15,0.289925486028,1.20006766077,4,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.279664604495,1,1.04027558242,20.0,1.3
1,1,0,1,24,1,2,2,2,0,1,1,88,3,78,84,84,78,173,0.279972563138,nan,76,[ 2.],2,14,24,34,44,54,64,74,79,0,0.279688339846,1,1.39043417362,62.0,1.3
