cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
1,1,1,1,20,2,1,1,1,0,1,1,1,1,98,62,62,98,102,1.9827005249999843,3.3500884459999725,61,[1.5],2,14,24,34,44,54,64,74,79,1,2.415956348000009,0,nan,75.0,1.3
1,1,1,0,20,2,1,2,2,0,1,1,2,1,80,4,80,4,104,0.7664752320000048,1.950172318,78,[1.5],2,13,23,33,43,53,63,73,78,1,1.0825781020000136,1,2.6525907270000175,89.0,1.2
0,0,1,0,20,2,1,0,2,2,1,1,3,1,2,35,2,35,43,1.5651179600000091,3.3166796190000127,179,[1.7],1,11,21,31,41,51,61,71,76,1,0.8826550789999601,1,2.1021654219999846,170.0,1.0
1,1,1,0,20,2,1,2,2,0,1,1,4,1,38,165,38,165,164,1.866047152999954,3.7166084059999775,17,[1.6],2,13,23,33,43,53,63,73,78,1,1.2328299499999957,1,2.434484132000023,29.0,1.5
1,1,0,0,20,1,2,1,1,0,1,1,5,1,59,179,59,179,145,0.6829594939999879,1.9506466720000049,50,[2.],2,13,23,33,43,53,63,73,78,1,1.5663519459999975,1,2.6363149389999876,28.0,1.0
0,0,1,0,20,2,1,0,2,2,1,1,6,1,146,78,146,78,109,1.5326138269999774,2.533878592999997,143,[1.9],1,11,21,31,41,51,61,71,76,1,0.68246986500003,1,1.9186446429999933,111.0,1.1
1,1,0,1,20,1,2,2,2,0,1,1,7,1,147,131,131,147,72,0.9328088009999647,2.2166443840000056,136,[1.6],2,14,24,34,44,54,64,74,79,1,0.9497017180000284,1,2.1522464950000426,119.0,1.0
1,1,0,0,20,1,2,1,1,0,1,1,8,1,96,0,96,0,166,0.9657977439999854,2.366321021000033,101,[2.],2,13,23,33,43,53,63,73,78,1,0.8493549239999538,1,1.8693783409999583,119.0,1.3
1,1,1,0,20,2,1,2,2,0,1,1,9,1,82,38,82,38,75,-1.0,-1.0,-1,[1.5],2,13,23,33,43,53,63,73,78,-1,-1.0,-1,-1.0,-1.0,1.2
0,0,0,1,20,1,2,0,2,2,1,1,10,1,68,114,114,68,61,-1.0,-1.0,-1,-1,1,12,22,32,42,52,62,72,77,-1,-1.0,-1,-1.0,-1.0,-1.0
0,0,0,1,20,1,2,0,2,2,1,1,11,1,12,131,131,12,167,-1.0,-1.0,-1,-1,1,12,22,32,42,52,62,72,77,-1,-1.0,-1,-1.0,-1.0,-1.0
0,0,1,1,20,2,1,0,1,1,1,1,12,1,79,64,64,79,10,-1.0,-1.0,-1,-1,1,12,22,32,42,52,62,72,77,-1,-1.0,-1,-1.0,-1.0,-1.0
0,0,0,1,20,1,2,0,2,2,1,1,13,1,30,66,66,30,131,-1.0,-1.0,-1,-1,1,12,22,32,42,52,62,72,77,-1,-1.0,-1,-1.0,-1.0,-1.0
0,0,0,1,20,1,2,0,2,2,1,1,14,1,146,39,39,146,141,-1.0,-1.0,-1,-1,1,12,22,32,42,52,62,72,77,-1,-1.0,-1,-1.0,-1.0,-1.0
1,1,1,1,20,2,1,1,1,0,1,1,15,1,64,118,118,64,175,-1.0,-1.0,-1,-1,2,14,24,34,44,54,64,74,79,-1,-1.0,-1,-1.0,-1.0,-1.0
1,1,1,0,20,2,1,2,2,0,1,1,16,1,25,170,25,170,97,-1.0,-1.0,-1,-1,2,13,23,33,43,53,63,73,78,-1,-1.0,-1,-1.0,-1.0,-1.0
0,0,1,0,20,2,1,0,2,2,1,1,17,1,51,57,51,57,70,-1.0,-1.0,-1,-1,1,11,21,31,41,51,61,71,76,-1,-1.0,-1,-1.0,-1.0,-1.0
0,0,0,0,20,1,2,0,1,1,1,1,18,1,16,5,16,5,38,-1.0,-1.0,-1,-1,1,11,21,31,41,51,61,71,76,-1,-1.0,-1,-1.0,-1.0,-1.0
0,0,0,0,20,1,2,0,1,1,1,1,19,1,109,76,109,76,170,-1.0,-1.0,-1,-1,1,11,21,31,41,51,61,71,76,-1,-1.0,-1,-1.0,-1.0,-1.0
1,1,0,0,20,1,2,1,1,0,1,1,20,1,39,57,39,57,154,-1.0,-1.0,-1,-1,2,13,23,33,43,53,63,73,78,-1,-1.0,-1,-1.0,-1.0,-1.0
0,0,1,0,20,2,1,0,2,2,1,1,21,1,142,55,142,55,151,-1.0,-1.0,-1,-1,1,11,21,31,41,51,61,71,76,-1,-1.0,-1,-1.0,-1.0,-1.0
1,1,0,1,20,1,2,2,2,0,1,1,22,1,44,168,168,44,100,-1.0,-1.0,-1,-1,2,14,24,34,44,54,64,74,79,-1,-1.0,-1,-1.0,-1.0,-1.0
0,0,0,0,20,1,2,0,1,1,1,1,23,1,54,152,54,152,89,-1.0,-1.0,-1,-1,1,11,21,31,41,51,61,71,76,-1,-1.0,-1,-1.0,-1.0,-1.0
