cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
1,1,0,1,19,1,2,2,2,0,1,1,1,1,51,150,150,51,52,4.182383330073208,nan,152,[1.5],2,14,24,34,44,54,64,74,79,0,2.5834403010085225,1,4.186305430950597,142.0,1.5
1,1,1,0,19,2,1,2,2,0,1,1,2,1,49,88,49,88,70,0.582646441180259,1.7845104550942779,39,[1.6],2,13,23,33,43,53,63,73,78,1,0.8667984348721802,1,2.2020437298342586,53.0,1.2
0,0,0,1,19,1,2,0,2,2,1,1,3,1,160,91,91,160,81,1.632702429080382,2.6510235290043056,100,[1.5],1,12,22,32,42,52,62,72,77,1,0.5316501781344414,1,1.4504106170497835,85.0,1.5
1,1,1,1,19,2,1,1,1,0,1,1,4,1,44,50,50,44,30,0.4484832710586488,1.6001807688735425,56,[1.9],2,14,24,34,44,54,64,74,79,1,0.3660063890274614,1,1.7852755840867758,63.0,1.4
1,1,0,1,19,1,2,2,2,0,1,1,5,1,82,164,164,82,37,1.7990478300489485,nan,170,[1.7],2,14,24,34,44,54,64,74,79,0,3.3801657501608133,1,4.783463468076661,-171.0,1.3
1,1,0,1,19,1,2,2,2,0,1,1,6,1,113,98,98,113,101,1.28250877908431,2.616037666099146,99,[1.7],2,14,24,34,44,54,64,74,79,1,0.6500974330119789,1,1.7030048549640924,89.0,1.4
1,1,1,0,19,2,1,2,2,0,1,1,7,1,110,90,110,90,65,0.4658422879874706,2.4171826858073473,103,[1.7],2,13,23,33,43,53,63,73,78,1,1.3153928630053997,1,2.3527357229031622,111.0,1.4
0,0,0,1,19,1,2,0,2,2,1,1,8,1,123,77,77,123,150,0.714780850103125,2.5495812261942774,86,[1.8],1,12,22,32,42,52,62,72,77,1,0.8657733427826315,1,2.184824916999787,67.0,1.2
0,0,1,0,19,2,1,0,2,2,1,1,9,1,80,50,80,50,65,1.3151363721117377,3.2996459719724953,77,[1.7],1,11,21,31,41,51,61,71,76,1,0.5329518751241267,1,1.7697401191107929,89.0,1.5
0,0,0,0,19,1,2,0,1,1,1,1,10,1,127,105,127,105,33,1.5658516089897603,nan,124,[1.8],1,11,21,31,41,51,61,71,76,0,0.9487432399764657,1,1.818850393872708,144.0,1.3
0,0,1,1,19,2,1,0,1,1,1,1,11,1,84,175,175,84,99,0.7988072820007801,2.4491760758683085,174,[1.9],1,12,22,32,42,52,62,72,77,1,0.36473728879354894,1,1.2011389979161322,179.0,1.3
0,0,1,1,19,2,1,0,1,1,1,1,12,1,177,104,104,177,64,1.031201743055135,nan,94,[1.5],1,12,22,32,42,52,62,72,77,0,0.5495147521141917,1,2.085639410186559,65.0,1.3
1,1,0,1,19,1,2,2,2,0,1,1,13,1,175,34,34,175,81,0.5835394510067999,2.3170443000271916,56,[1.6],2,14,24,34,44,54,64,74,79,1,0.6314219748601317,1,1.8012657759245485,47.0,1.1
1,1,0,0,19,1,2,1,1,0,1,1,14,1,101,169,101,169,68,0.5652911681681871,2.2999890281353146,105,[1.6],2,13,23,33,43,53,63,73,78,1,0.6484312771353871,1,1.599937662947923,95.0,1.3
0,0,1,0,19,2,1,0,2,2,1,1,15,1,7,15,7,15,132,0.5815771019551903,2.2992723279166967,17,[1.8],1,11,21,31,41,51,61,71,76,1,0.28391967294737697,1,1.318525840062648,12.0,1.3
0,0,0,0,19,1,2,0,1,1,1,1,16,1,110,54,110,54,72,0.7328338569495827,2.717974608996883,111,[1.6],1,11,21,31,41,51,61,71,76,1,0.9160971480887383,1,1.80265468894504,98.0,1.2
1,1,1,0,19,2,1,2,2,0,1,1,17,1,148,12,148,12,146,2.200198693899438,nan,160,[1.7],2,13,23,33,43,53,63,73,78,0,0.681624311953783,1,2.0844647919293493,175.0,1.4
0,0,0,0,19,1,2,0,1,1,1,1,18,1,95,123,95,123,105,0.7827537260018289,2.1999017919879407,93,[2.],1,11,21,31,41,51,61,71,76,1,1.0658456289675087,1,2.4201829810626805,80.0,1.0
0,0,1,1,19,2,1,0,1,1,1,1,19,1,126,138,138,126,116,0.6161081520840526,2.3681070590391755,146,[1.9],1,12,22,32,42,52,62,72,77,1,0.5324118230491877,1,1.6007916131056845,137.0,1.1
0,0,0,0,19,1,2,0,1,1,1,1,20,1,36,120,36,120,164,0.7496168490033597,2.1504715750925243,38,[1.9],1,11,21,31,41,51,61,71,76,1,0.49939132388681173,1,1.4354446020442992,25.0,1.3
0,0,1,0,19,2,1,0,2,2,1,1,21,1,20,62,20,62,116,0.6667011159006506,2.4845982510596514,26,[1.9],1,11,21,31,41,51,61,71,76,1,0.6481100718956441,1,1.48427226790227,40.0,1.2
1,1,1,1,19,2,1,1,1,0,1,1,22,1,125,78,78,125,0,0.39955599303357303,1.9675909171346575,86,[1.8],2,14,24,34,44,54,64,74,79,1,0.26517309597693384,1,0.9346477740909904,73.0,1.4
1,1,1,0,19,2,1,2,2,0,1,1,23,1,22,101,22,101,150,0.3150180960074067,1.899478348903358,6,[1.9],2,13,23,33,43,53,63,73,78,1,0.26633753697387874,1,1.434206172125414,-5.0,1.4
1,1,0,0,19,1,2,1,1,0,1,1,24,1,97,35,97,35,4,0.5161171781364828,2.217205814085901,75,[1.8],2,13,23,33,43,53,63,73,78,1,0.6652857561130077,1,1.6009770741220564,45.0,1.4
1,1,1,1,19,2,1,1,1,0,1,1,25,1,8,0,0,8,49,0.6325280489400029,nan,148,[2.],2,14,24,34,44,54,64,74,79,0,10.83104705507867,0,nan,179.0,1.4
1,1,0,0,19,1,2,1,1,0,1,1,26,1,57,160,57,160,33,22.449212525971234,nan,65,[1.8],2,13,23,33,43,53,63,73,78,0,2.016166022978723,1,2.9020236800424755,77.0,1.2
0,0,1,1,19,2,1,0,1,1,1,1,27,1,72,100,100,72,84,4.765057431068271,5.850366639904678,111,[1.8],1,12,22,32,42,52,62,72,77,1,5.332848404999822,1,6.468419224023819,102.0,1.3
1,1,0,0,19,1,2,1,1,0,1,1,28,1,163,88,163,88,126,16.950382131850347,18.20126953185536,5,[1.9],2,13,23,33,43,53,63,73,78,1,1.2826837268657982,1,2.2685642358846962,25.0,1.0
0,0,1,0,19,2,1,0,2,2,1,1,29,1,43,111,43,111,23,2.4490508530288935,nan,9,[1.6],1,11,21,31,41,51,61,71,76,0,1.199670537142083,1,2.5182430951390415,34.0,1.2
1,1,1,1,19,2,1,1,1,0,1,1,30,1,71,19,19,71,6,1.199587183073163,2.933830419089645,19,[1.6],2,14,24,34,44,54,64,74,79,1,2.10024895099923,1,3.083837195066735,32.0,1.2
0,0,0,1,19,1,2,0,2,2,1,1,31,1,152,137,137,152,25,0.9981204979121685,2.9839547069277614,146,[1.7],1,12,22,32,42,52,62,72,77,1,0.8996547111310065,1,1.8691676640883088,160.0,1.2
0,0,0,1,19,1,2,0,2,2,1,1,32,1,32,63,63,32,91,1.9984234659932554,3.566381348995492,56,[1.8],1,12,22,32,42,52,62,72,77,1,0.6151197089347988,1,1.4016004058066756,42.0,1.0
